edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,8,2000,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-6-serie-n-1/bt00306/5022
2,9,2000,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-2/bt00306/5023
3,10,2000,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-3/bt00306/5024
4,11,2000,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-4/bt00306/5025
5,12,2000,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-5/bt00306/5026
6,1,2001,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-6/bt00306/5027
7,2,2001,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-7/bt00306/5028
8,3,2001,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-8/bt00306/5029
9,4,2001,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-9/bt00306/5030
10,5,2001,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-10/bt00306/5031
11,6,2001,"R$ 9,90",164,http://www.guiadosquadrinhos.com/edicao/batman-n-11/bt00306/5032
12,7,2001,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-12/bt00306/5033
13,8,2001,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-13/bt00306/5034
14,9,2001,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-14/bt00306/5035
15,10,2001,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-15/bt00306/5036
16,11,2001,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-16/bt00306/5037
17,12,2001,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-17/bt00306/5038
18,1,2002,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-18/bt00306/5039
19,1,2002,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-19/bt00306/5040
20,2,2002,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-20/bt00306/5041
21,2,2002,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-21/bt00306/5042
22,3,2002,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-22/bt00306/5043
23,3,2002,"R$ 10,00",164,http://www.guiadosquadrinhos.com/edicao/batman-n-23/bt00306/5044
