edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,7,1984,"Cr$ 750,00",84,http://www.guiadosquadrinhos.com/edicao/batman-1-serie-n-1/bt00301/4741
2,8,1984,"Cr$ 850,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-2/bt00301/4742
3,9,1984,"Cr$ 900,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-3/bt00301/4743
4,10,1984,"Cr$ 1.100,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-4/bt00301/4744
5,11,1984,"Cr$ 1.200,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-5/bt00301/4745
6,12,1984,"Cr$ 1.350,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-6/bt00301/4746
7,1,1985,"Cr$ 1.450,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-7/bt00301/4747
8,2,1985,"Cr$ 1.600,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-8/bt00301/4748
9,3,1985,"Cr$ 1.800,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-9/bt00301/4749
10,4,1985,"Cr$ 2.100,00",84,http://www.guiadosquadrinhos.com/edicao/batman-n-10/bt00301/4750
