edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,2,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-4-serie-n-1/ba011400/163183
2,2,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba011400/163392
3,3,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba011400/163393
4,3,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba011400/163394
5,4,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba011400/163856
6,4,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba011400/163857
7,5,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba011400/164284
8,5,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba011400/164285
9,6,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba011400/164898
10,6,2022,"R$ 24,90",108,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba011400/164899
11,7,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba011400/165408
12,7,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba011400/165409
13,8,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba011400/165766
14,8,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba011400/165767
15,9,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba011400/166395
16,9,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba011400/166396
17,10,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba011400/168811
18,10,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba011400/168812
19,11,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba011400/169207
20,11,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba011400/169208
21,12,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba011400/169810
22,12,2022,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba011400/169897
23,1,2023,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba011400/169898
24,1,2023,"R$ 24,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-24/ba011400/169900
