edicao_numero,mes,ano,preco_capa,numero_paginas,url
0,1,1990,,36,http://www.guiadosquadrinhos.com/edicao/batman-3-serie-n-0/bt00303/20984
1,2,1990,"NCz$ 45,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-1/bt00303/4767
2,3,1990,"NCz$ 80,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-2/bt00303/4768
3,4,1990,"Cr$ 80,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-3/bt00303/4769
4,5,1990,"Cr$ 80,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-4/bt00303/4770
5,6,1990,"Cr$ 80,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-5/bt00303/4771
6,7,1990,"Cr$ 95,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-6/bt00303/4772
7,8,1990,"Cr$ 100,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-7/bt00303/4773
8,9,1990,"Cr$ 115,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-8/bt00303/4774
9,10,1990,"Cr$ 130,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-9/bt00303/4775
10,11,1990,"Cr$ 150,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-10/bt00303/4776
11,12,1990,"Cr$ 165,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-11/bt00303/4777
12,1,1991,"Cr$ 220,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-12/bt00303/4778
13,2,1991,"Cr$ 220,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-13/bt00303/4779
14,3,1991,"Cr$ 220,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-14/bt00303/4780
15,4,1991,"Cr$ 270,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-15/bt00303/4781
16,5,1991,"Cr$ 270,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-16/bt00303/4782
17,6,1991,"Cr$ 330,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-17/bt00303/4783
18,7,1991,"Cr$ 400,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-18/bt00303/4784
19,8,1991,"Cr$ 480,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-19/bt00303/4785
20,9,1991,"Cr$ 600,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-20/bt00303/4786
21,10,1991,"Cr$ 750,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-21/bt00303/4787
22,11,1991,"Cr$ 980,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-22/bt00303/4788
23,12,1991,"Cr$ 1.550,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-23/bt00303/4789
24,1,1992,"Cr$ 1.950,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-24/bt00303/4790
25,2,1992,"Cr$ 2.300,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-25/bt00303/4791
26,3,1992,"Cr$ 3.000,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-26/bt00303/4792
27,4,1992,"Cr$ 3.500,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-27/bt00303/4793
28,5,1992,"Cr$ 4.100,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-28/bt00303/4794
29,6,1992,"Cr$ 4.700,00",52,http://www.guiadosquadrinhos.com/edicao/batman-n-29/bt00303/4795
