edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,7,1961,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-2-serie-n-1/ba001200/30304
2,8,1961,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba001200/30305
3,9,1961,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba001200/30306
4,10,1961,"Cr$ 20,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba001200/30307
5,11,1961,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba001200/30308
6,12,1961,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba001200/30309
7,1,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba001200/30310
8,2,1962,"Cr$ 20,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba001200/30311
9,3,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba001200/30312
10,4,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba001200/30313
11,5,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba001200/30314
12,6,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba001200/30315
13,7,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba001200/30316
14,8,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba001200/30317
15,9,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba001200/30318
16,10,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba001200/30319
17,11,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba001200/30320
18,12,1962,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba001200/30321
19,1,1963,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba001200/30322
20,2,1963,"Cr$ 40,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba001200/30323
21,3,1963,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba001200/30324
22,4,1963,,68,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba001200/30325
23,5,1963,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba001200/30326
