edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,11,1969,,36,http://www.guiadosquadrinhos.com/edicao/batman-3-serie-n-1/ba001300/30404
2,12,1969,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba001300/30405
3,1,1970,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba001300/30406
4,2,1970,"NCr$ 0,50",36,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba001300/30407
5,3,1970,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba001300/30408
6,4,1970,"NCr$ 0,50",36,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba001300/30409
7,5,1970,"NCr$ 0,50",36,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba001300/30410
8,6,1970,"Cr$ 0,50",36,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba001300/30411
9,7,1970,"Cr$ 0,50",36,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba001300/30412
10,8,1970,"Cr$ 0,50",36,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba001300/30413
11,9,1970,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba001300/30414
12,10,1970,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba001300/30415
13,11,1970,"Cr$ 0,60",36,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba001300/30416
14,12,1970,"Cr$ 0,60",36,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba001300/30417
15,1,1971,"Cr$ 0,60",36,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba001300/30418
16,2,1971,"Cr$ 0,60",36,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba001300/30419
17,3,1971,"Cr$ 0,60",36,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba001300/30420
18,4,1971,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba001300/30421
19,5,1971,"Cr$ 0,60",36,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba001300/30422
20,6,1971,"Cr$ 0,60",36,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba001300/30423
21,7,1971,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba001300/30424
22,8,1971,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba001300/30425
23,9,1971,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba001300/30426
24,10,1971,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-24/ba001300/30427
25,11,1971,"Cr$ 0,80",36,http://www.guiadosquadrinhos.com/edicao/batman-n-25/ba001300/30428
26,12,1971,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-26/ba001300/30429
27,1,1972,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-27/ba001300/30430
28,2,1972,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-28/ba001300/30431
29,3,1972,"Cr$ 1,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-29/ba001300/30432
30,4,1972,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-30/ba001300/30433
31,5,1972,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-31/ba001300/30434
