edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,2,2023,"R$ 19,90",84,http://www.guiadosquadrinhos.com/edicao/batman-5-serie-n-1/ba011500/171848
2,3,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba011500/172475
3,4,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba011500/172803
4,5,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba011500/173286
5,6,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba011500/173949
6,7,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba011500/174254
7,8,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba011500/174545
8,9,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba011500/174640
9,10,2023,"R$ 27,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba011500/175016
10,11,2023,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba011500/175241
11,12,2023,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba011500/175516
12,1,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba011500/176008
13,2,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba011500/176608
14,3,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba011500/177103
15,4,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba011500/177418
16,5,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba011500/178292
17,6,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba011500/178587
18,7,2024,"R$ 31,90",104,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba011500/178847
19,8,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba011500/179162
20,9,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba011500/180567
21,10,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba011500/181035
22,11,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba011500/181403
23,12,2024,"R$ 27,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba011500/182002
24,1,2025,"R$ 39,90",120,http://www.guiadosquadrinhos.com/edicao/batman-n-24/ba011500/183209
25,2,2025,"R$ 31,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-25/ba011500/183563
26,3,2025,"R$ 31,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-26/ba011500/184224
27,4,2025,"R$ 31,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-27/ba011500/184667
28,5,2025,"R$ 31,90",80,http://www.guiadosquadrinhos.com/edicao/batman-n-28/ba011500/185011
29,6,2025,"R$ 31,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-29/ba011500/185406
30,7,2025,"R$ 31,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-30/ba011500/185781
31,8,2025,"R$ 31,90",92,http://www.guiadosquadrinhos.com/edicao/batman-n-31/ba011500/186387
32,9,2025,"R$ 31,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-32/ba011500/186505
