edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,3,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-1-serie-n-1/ba001102/30204
2,4,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba001102/30205
3,5,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba001102/30206
4,6,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba001102/30207
5,7,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba001102/30208
6,8,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba001102/30209
7,9,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba001102/30210
8,10,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba001102/30211
9,11,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba001102/30212
10,12,1953,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba001102/30213
11,1,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba001102/30214
12,2,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba001102/30215
13,3,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba001102/30216
14,4,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba001102/30217
15,5,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba001102/30218
16,6,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba001102/30219
17,7,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba001102/30220
18,8,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba001102/30221
19,9,1954,"Cr$ 3,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba001102/30222
20,10,1954,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba001102/30223
21,11,1954,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba001102/30224
22,12,1954,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba001102/30225
23,1,1955,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba001102/30226
24,2,1955,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-24/ba001102/30227
25,3,1955,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-25/ba001102/30228
26,4,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-26/ba001102/30229
27,5,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-27/ba001102/30230
28,6,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-28/ba001102/30231
29,7,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-29/ba001102/30232
30,8,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-30/ba001102/30233
31,9,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-31/ba001102/30234
32,10,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-32/ba001102/30235
33,11,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-33/ba001102/30236
34,12,1955,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-34/ba001102/30237
35,1,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-35/ba001102/30238
36,2,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-36/ba001102/30239
37,3,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-37/ba001102/30240
38,4,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-38/ba001102/30241
39,5,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-39/ba001102/30242
40,6,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-40/ba001102/30243
41,7,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-41/ba001102/30244
42,8,1956,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-42/ba001102/30245
43,9,1956,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-43/ba001102/30246
44,10,1956,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-44/ba001102/30247
45,11,1956,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-45/ba001102/30248
46,12,1956,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-46/ba001102/30249
47,1,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-47/ba001102/30250
48,2,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-48/ba001102/30251
49,3,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-49/ba001102/30252
50,4,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-50/ba001102/30253
51,5,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-51/ba001102/30254
52,6,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-52/ba001102/30255
53,7,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-53/ba001102/30256
54,8,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-54/ba001102/30257
55,9,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-55/ba001102/30258
56,10,1957,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-56/ba001102/30259
57,11,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-57/ba001102/30260
58,12,1957,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-58/ba001102/30261
59,1,1958,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-59/ba001102/30262
60,2,1958,"Cr$ 7,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-60/ba001102/30263
61,3,1958,"Cr$ 7,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-61/ba001102/30264
62,4,1958,"Cr$ 7,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-62/ba001102/30265
63,5,1958,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-63/ba001102/30266
64,6,1958,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-64/ba001102/30267
65,7,1958,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-65/ba001102/30268
66,8,1958,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-66/ba001102/30269
67,9,1958,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-67/ba001102/30270
68,10,1958,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-68/ba001102/30271
69,11,1958,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-69/ba001102/30272
70,12,1958,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-70/ba001102/30273
71,1,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-71/ba001102/30274
72,2,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-72/ba001102/30275
73,3,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-73/ba001102/30276
74,4,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-74/ba001102/30277
75,5,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-75/ba001102/30278
76,6,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-76/ba001102/30279
77,7,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-77/ba001102/30280
78,8,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-78/ba001102/30281
79,9,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-79/ba001102/30282
80,10,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-80/ba001102/30283
81,11,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-81/ba001102/30284
82,12,1959,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-82/ba001102/30285
83,1,1960,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-83/ba001102/30286
84,2,1960,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-84/ba001102/30287
85,3,1960,"Cr$ 12,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-85/ba001102/30288
86,4,1960,"Cr$ 12,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-86/ba001102/30289
87,5,1960,"Cr$ 12,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-87/ba001102/30290
88,6,1960,"Cr$ 12,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-88/ba001102/30291
89,7,1960,"Cr$ 12,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-89/ba001102/30292
90,8,1960,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-90/ba001102/30293
91,9,1960,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-91/ba001102/30294
92,10,1960,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-92/ba001102/30295
93,11,1960,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-93/ba001102/30296
94,12,1960,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-94/ba001102/30297
95,1,1961,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-95/ba001102/30298
96,2,1961,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-96/ba001102/30299
97,3,1961,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-97/ba001102/30300
98,4,1961,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-98/ba001102/30301
99,5,1961,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-99/ba001102/30302
100,6,1961,"Cr$ 15,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-100/ba001102/30303
