edicao_numero,mes,ano,preco_capa,numero_paginas,url
0,6,2013,"R$ 10,90",124,http://www.guiadosquadrinhos.com/edicao/batman-2-serie-n-0/ba011203/104688
1,6,2012,"R$ 6,50",76,http://www.guiadosquadrinhos.com/edicao/batman-n-1/ba011203/98705
2,7,2012,"R$ 5,90",68,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba011203/99212
3,8,2012,"R$ 5,90",68,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba011203/99583
4,9,2012,"R$ 5,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba011203/100174
5,10,2012,"R$ 5,90",68,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba011203/100695
6,11,2012,"R$ 5,90",68,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba011203/101141
7,12,2012,"R$ 5,90",68,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba011203/101507
8,1,2013,"R$ 7,20",76,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba011203/102000
9,2,2013,"R$ 9,80",116,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba011203/103290
10,3,2013,"R$ 7,20",76,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba011203/103565
11,4,2013,"R$ 7,20",76,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba011203/103826
12,5,2013,"R$ 7,20",76,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba011203/104365
13,7,2013,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba011203/104726
14,8,2013,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba011203/105674
15,9,2013,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba011203/106151
16,10,2013,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba011203/106443
17,11,2013,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba011203/106969
18,12,2013,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba011203/107375
19,1,2014,"R$ 10,20",116,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba011203/107805
20,2,2014,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba011203/108544
21,3,2014,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba011203/108986
22,4,2014,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba011203/109439
23,5,2014,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba011203/109802
24,7,2014,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-24/ba011203/110808
25,8,2014,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-25/ba011203/111538
26,9,2014,"R$ 7,50",84,http://www.guiadosquadrinhos.com/edicao/batman-n-26/ba011203/111986
27,10,2014,"R$ 7,20",76,http://www.guiadosquadrinhos.com/edicao/batman-n-27/ba011203/112414
28,11,2014,"R$ 6,50",68,http://www.guiadosquadrinhos.com/edicao/batman-n-28/ba011203/112672
29,12,2014,"R$ 7,20",76,http://www.guiadosquadrinhos.com/edicao/batman-n-29/ba011203/114429
30,1,2015,"R$ 8,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-30/ba011203/114401
31,2,2015,"R$ 7,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-31/ba011203/114789
32,3,2015,"R$ 7,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-32/ba011203/116042
33,4,2015,"R$ 7,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-33/ba011203/116558
34,5,2015,"R$ 8,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-34/ba011203/116938
35,6,2015,"R$ 8,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-35/ba011203/117287
36,7,2015,"R$ 8,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-36/ba011203/118482
37,8,2015,"R$ 7,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-37/ba011203/118940
38,9,2015,"R$ 7,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-38/ba011203/119509
39,10,2015,"R$ 8,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-39/ba011203/120025
40,11,2015,"R$ 7,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-40/ba011203/120467
41,12,2015,"R$ 7,90",76,http://www.guiadosquadrinhos.com/edicao/batman-n-41/ba011203/121088
42,1,2016,"R$ 7,20",68,http://www.guiadosquadrinhos.com/edicao/batman-n-42/ba011203/121396
43,4,2016,"R$ 10,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-43/ba011203/123695
44,5,2016,"R$ 7,60",68,http://www.guiadosquadrinhos.com/edicao/batman-n-44/ba011203/124002
45,6,2016,"R$ 7,60",68,http://www.guiadosquadrinhos.com/edicao/batman-n-45/ba011203/124532
46,7,2016,"R$ 8,60",84,http://www.guiadosquadrinhos.com/edicao/batman-n-46/ba011203/125060
47,8,2016,"R$ 8,40",76,http://www.guiadosquadrinhos.com/edicao/batman-n-47/ba011203/125454
48,9,2016,"R$ 8,40",76,http://www.guiadosquadrinhos.com/edicao/batman-n-48/ba011203/125821
49,10,2016,"R$ 8,40",76,http://www.guiadosquadrinhos.com/edicao/batman-n-49/ba011203/126200
50,11,2016,"R$ 12,20",108,http://www.guiadosquadrinhos.com/edicao/batman-n-50/ba011203/126619
51,12,2016,"R$ 8,40",76,http://www.guiadosquadrinhos.com/edicao/batman-n-51/ba011203/127012
52,1,2017,"R$ 8,40",76,http://www.guiadosquadrinhos.com/edicao/batman-n-52/ba011203/127612
