edicao_numero,mes,ano,preco_capa,numero_paginas,url
0,10,1996,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-5-serie-n-0/bt00305/4815
1,11,1996,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-1/bt00305/4816
2,12,1996,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-2/bt00305/4817
3,1,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-3/bt00305/4818
4,2,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-4/bt00305/4819
5,3,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-5/bt00305/4820
6,4,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-6/bt00305/4821
7,5,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-7/bt00305/4822
8,6,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-8/bt00305/4823
9,7,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-9/bt00305/4824
10,8,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-10/bt00305/4825
11,9,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-11/bt00305/4826
12,10,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-12/bt00305/4827
13,11,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-13/bt00305/4828
14,12,1997,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-14/bt00305/4829
15,1,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-15/bt00305/4830
16,2,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-16/bt00305/4831
17,3,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-17/bt00305/4832
18,4,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-18/bt00305/4833
19,5,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-19/bt00305/4834
20,6,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-20/bt00305/4835
21,7,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-21/bt00305/4836
22,8,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-22/bt00305/4837
23,9,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-23/bt00305/4838
24,10,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-24/bt00305/4839
25,11,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-25/bt00305/4840
26,12,1998,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-26/bt00305/4841
27,1,1999,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-27/bt00305/4842
28,2,1999,"R$ 2,30",84,http://www.guiadosquadrinhos.com/edicao/batman-n-28/bt00305/4843
29,3,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-29/bt00305/4844
30,4,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-30/bt00305/4845
31,5,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-31/bt00305/4846
32,6,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-32/bt00305/4847
33,7,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-33/bt00305/4848
34,8,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-34/bt00305/4849
35,9,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-35/bt00305/4850
36,10,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-36/bt00305/4851
37,11,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-37/bt00305/4852
38,12,1999,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-38/bt00305/4853
39,1,2000,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-39/bt00305/4854
40,2,2000,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-40/bt00305/4855
41,3,2000,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-41/bt00305/4856
42,4,2000,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-42/bt00305/4857
43,5,2000,"R$ 2,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-43/bt00305/4858
44,6,2000,"R$ 3,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-44/bt00305/4859
45,7,2000,"R$ 3,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-45/bt00305/4860
