edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,11,2002,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-1-serie-n-1/ba01101/19506
2,1,2003,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba01101/19507
3,2,2003,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba01101/19508
4,3,2003,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba01101/19509
5,4,2003,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba01101/19510
6,5,2003,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba01101/19511
7,6,2003,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba01101/19512
8,7,2003,"R$ 7,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba01101/19513
9,8,2003,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba01101/19514
10,9,2003,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba01101/19515
11,10,2003,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba01101/19518
12,11,2003,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba01101/19519
13,12,2003,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba01101/19520
14,1,2004,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba01101/19521
15,2,2004,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba01101/19522
16,3,2004,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba01101/19523
17,4,2004,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba01101/19524
18,5,2004,"R$ 6,00",100,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba01101/19525
19,6,2004,"R$ 6,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba01101/19526
20,7,2004,"R$ 6,50",104,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba01101/19527
21,8,2004,"R$ 6,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba01101/19528
22,9,2004,"R$ 6,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba01101/19529
23,10,2004,"R$ 6,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba01101/19530
24,11,2004,"R$ 6,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-24/ba01101/19531
25,12,2004,"R$ 6,50",100,http://www.guiadosquadrinhos.com/edicao/batman-n-25/ba01101/19532
26,1,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-26/ba01101/19533
27,2,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-27/ba01101/19534
28,3,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-28/ba01101/19535
29,4,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-29/ba01101/19536
30,5,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-30/ba01101/19537
31,6,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-31/ba01101/19538
32,7,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-32/ba01101/19539
33,8,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-33/ba01101/19540
34,9,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-34/ba01101/19541
35,10,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-35/ba01101/19542
36,11,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-36/ba01101/19543
37,12,2005,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-37/ba01101/19544
38,1,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-38/ba01101/19545
39,2,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-39/ba01101/19546
40,3,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-40/ba01101/19547
41,4,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-41/ba01101/19548
42,5,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-42/ba01101/19549
43,6,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-43/ba01101/19550
44,7,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-44/ba01101/19551
45,8,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-45/ba01101/19552
46,9,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-46/ba01101/19553
47,10,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-47/ba01101/19554
48,11,2006,"R$ 6,90",100,http://www.guiadosquadrinhos.com/edicao/batman-n-48/ba01101/19555
